OBJECTID,Corridor_Segment,Corridor_Group,Alternative_Fuel_Corridor,Minimum_Sites,Chargers_Required,Required_Sites,Additional_Notes,Shape__Length
83,South of Chico Jct 99 to Elsey Jct 70,01,SR-149,0,0,NA,NA,15870.0354329565
84,East Nicolas to S of Elsey,01,SR-70,2,8,NA,NA,84245.4563048292
85,Menifee Jct 215 to Hemet Jct N San Jacinto St,22,SR-74,1,4,Near SR-74/SR-79 (Green Acres),Site required on either SR-74 or SR-79,37180.7538407774
86,Coachella Jct 10 to Thermal Jct 111,14,SR-86,0,0,NA,Station can be sited here or on other segments of SR-111/SR-86/SR-78,16715.8270000312
87,"East of Merced Jct 99 to El Portal, Yosemite National Park",13,SR-140,2,9,Near El Portal,NA,109408.362908177
88,Mountain View Jct 101 to San Jose Jct 101,Ineligible for Funding,SR-85,0,0,NA,NA,38194.0702439252
89,San Jose Jct 101 to San Jose Jct 85,Ineligible for Funding,SR-87,0,0,NA,NA,28783.4555358883
90,Stockton Jct 99 to Jackson Jct 49,21,SR-88,1,4,NA,NA,72132.4879472183
91,Orland Jct 5 to Chico Jct 99,01,SR-32,0,0,NA,"A station could be sited on SR-32 if there are no gaps longer than 50 miles between it, I-5 and SR-99.",35096.4426281659
92,Tracy Jct 205 to Vernalis Jct 5,12,I-580,0,0,NA,A new charging station could be on this segment of I-580 or farther West on I-580.,26260.7289824397
93,Orange Jct 5 to Glendora Jct 210,Ineligible for Funding,SR-57,0,0,NA,NA,37646.2414054879
94,San Leandro Jct 880 to Fremont Jct 680,Ineligible for Funding,I-238,0,0,NA,NA,26103.1762340436
95,Temecula Jct 15 to Green Acres Jct 74,22,SR-79,1,4,Near SR-74/SR-79 (Green Acres),Site required on either SR-74 or SR-79,26892.4842310332
96,San Juan Bautista Jct 101 to Dunneville Jct 152,13,SR-156,0,2,NA,"Since new charging stations are not required on this corridor, these chargers may be added to any corridor in Group 13.",28610.8660925815
97,Mountain View Jct 85 to Milpitas Jct 680,Ineligible for Funding,SR-237,0,0,NA,NA,17135.8083267011
98,Gustine Jct 5 to Merced Jct 99,13,SR-140,0,0,NA,A new charging station could be on this segment of SR-140 or farther East on SR-140.,57323.8139090717
